datetime,temperature
20200115T0600,-0.1997546
20200115T0700,-0.1397546
20200115T0800,0.6502454
20200115T0900,3.2302456
20200115T1000,6.0302453
20200115T1100,8.490246
20200115T1200,10.540245
20200115T1300,12.140245
20200115T1400,12.720245
20200115T1500,12.660245
20200115T1600,10.570246
20200115T1700,8.900246
20200115T1800,8.070246
20200115T1900,7.440245
20200115T2000,6.8702455
20200115T2100,6.690245
20200115T2200,7.040245
20200115T2300,7.0302453
20200116T0000,7.2202454
20200116T0100,7.230245
20200116T0200,6.940245
20200116T0300,6.0502453
20200116T0400,5.2202454
20200116T0500,4.5702453
20200116T0600,3.7402453
20200116T0700,3.1002455
20200116T0800,3.1602454
20200116T0900,4.9302454
20200116T1000,8.300245
20200116T1100,10.290245
20200116T1200,11.780245
20200116T1300,12.700245
20200116T1400,12.970245
20200116T1500,11.860246
20200116T1600,9.020246
20200116T1700,7.190245
20200116T1800,5.6202455
20200116T1900,4.2902455
20200116T2000,3.2102456
20200116T2100,2.3602452
20200116T2200,1.6102453
20200116T2300,0.9402454
20200117T0000,0.7202454
20200117T0100,0.3902454
20200117T0200,0.14024541
20200117T0300,0.3602454
20200117T0400,0.00024539232
20200117T0500,-0.11975461
20200117T0600,-0.2697546
20200117T0700,0.010245383
20200117T0800,0.8202454
20200117T0900,2.6802454
20200117T1000,4.4802456
20200117T1100,5.690245
20200117T1200,6.380245
20200117T1300,7.380245
20200117T1400,7.5102453
20200117T1500,7.8502455
20200117T1600,7.7802453
20200117T1700,7.520245
20200117T1800,7.2802453
20200117T1900,7.000245
20200117T2000,6.9102454
20200117T2100,6.8002453
20200117T2200,7.0702453
20200117T2300,7.0702453
20200118T0000,6.8702455
20200118T0100,6.5302453
20200118T0200,6.040245
20200118T0300,5.5602455
20200118T0400,5.3302455
20200118T0500,4.8102455
20200118T0600,4.6802454
20200118T0700,4.5802455
20200118T0800,4.2502456
20200118T0900,4.6202455
20200118T1000,5.480245
20200118T1100,6.170245
20200118T1200,6.4502454
20200118T1300,6.5802455
20200118T1400,6.4702454
20200118T1500,6.1202455
20200118T1600,5.4102454
20200118T1700,4.3402452
20200118T1800,3.5102453
20200118T1900,2.9402456
20200118T2000,2.7402453
20200118T2100,2.4502454
20200118T2200,2.1602454
20200118T2300,0.97024536
20200119T0000,0.4202454
20200119T0100,0.77024543
20200119T0200,0.080245405
20200119T0300,-0.16975462
20200119T0400,-0.2697546
20200119T0500,-0.47975457
20200119T0600,-0.51975465
20200119T0700,-0.6697546
20200119T0800,-0.14975458
20200119T0900,0.9602454
20200119T1000,1.9802454
20200119T1100,3.0002456
20200119T1200,3.8002453
20200119T1300,3.8602452
20200119T1400,3.8002453
20200119T1500,3.6602454
20200119T1600,3.2602453
20200119T1700,2.2002454
20200119T1800,2.0402455
20200119T1900,1.5002453
20200119T2000,1.2602453
20200119T2100,1.2602453
20200119T2200,2.3102455
20200119T2300,2.0802455
20200120T0000,2.1502454
20200120T0100,2.0702453
20200120T0200,1.6102453
20200120T0300,1.1502454
20200120T0400,1.4302454
20200120T0500,1.6702454
20200120T0600,1.9902455
20200120T0700,2.2202454
20200120T0800,2.3002453
20200120T0900,2.9302454
20200120T1000,3.6702452
20200120T1100,4.650245
20200120T1200,5.270245
20200120T1300,5.750245
20200120T1400,5.920245
20200120T1500,5.420245
20200120T1600,4.0102453
20200120T1700,2.9702454
20200120T1800,1.8302454
20200120T1900,1.1802454
20200120T2000,0.4502454
20200120T2100,-0.20975459
20200120T2200,-0.76975465
20200120T2300,-1.1197546
20200121T0000,-1.9097546
20200121T0100,-2.4597545
20200121T0200,-3.0197544
20200121T0300,-3.7897549
20200121T0400,-4.059755
20200121T0500,-4.209755
20200121T0600,-4.5897546
20200121T0700,-4.459755
20200121T0800,-3.2997546
20200121T0900,-0.87975454
20200121T1000,0.7602454
20200121T1100,1.6902454
20200121T1200,2.6302452
20200121T1300,3.5302453
20200121T1400,4.150245
20200121T1500,3.8002453
20200121T1600,3.1602454
20200121T1700,0.9602454
20200121T1800,-1.2897546
20200121T1900,-2.5097547
20200121T2000,-3.1297545
20200121T2100,-3.6797547
20200121T2200,-3.4497547
20200121T2300,-3.8597546
20200122T0000,-3.9697547
20200122T0100,-4.2397547
20200122T0200,-4.0497546
20200122T0300,-4.1797547
20200122T0400,-4.0697546
20200122T0500,-4.0297546
20200122T0600,-3.9897547
20200122T0700,-4.1097546
20200122T0800,-2.9697547
20200122T0900,-1.7897545
20200122T1000,-0.4397546
20200122T1100,0.4802454
20200122T1200,1.3602455
20200122T1300,1.9102454
20200122T1400,2.2502456
20200122T1500,1.3902454
20200122T1600,0.7402454
20200122T1700,-1.2197546
20200122T1800,-1.8797547
20200122T1900,-2.3297548
20200122T2000,-2.5697546
20200122T2100,-2.5297546
20200122T2200,-2.6297545
20200122T2300,-2.7897544
20200123T0000,-2.7997546
20200123T0100,-2.8197546
20200123T0200,-2.8197546
20200123T0300,-2.9697547
20200123T0400,-3.0697546
20200123T0500,-3.0497546
20200123T0600,-3.0397544
20200123T0700,-3.2197547
20200123T0800,-2.5297546
20200123T0900,-1.8297547
20200123T1000,-0.52975464
20200123T1100,0.100245416
20200123T1200,0.7502454
20200123T1300,1.4802454
20200123T1400,1.5702454
20200123T1500,1.0402454
20200123T1600,1.1802454
20200123T1700,-0.88975465
20200123T1800,-1.1197546
20200123T1900,-1.0197546
20200123T2000,-1.8697547
20200123T2100,-2.2297544
20200123T2200,-2.1597548
20200123T2300,-2.1097546
20200124T0000,-1.8497547
20200124T0100,-1.7697545
20200124T0200,-1.4397546
20200124T0300,-1.3497546
20200124T0400,-1.5197545
20200124T0500,-1.3797545
20200124T0600,-1.2197546
20200124T0700,-1.1297545
20200124T0800,-0.39975458
20200124T0900,0.5402454
20200124T1000,1.2102454
20200124T1100,2.5502453
20200124T1200,3.9902453
20200124T1300,5.290245
20200124T1400,5.960245
20200124T1500,5.020245
20200124T1600,2.5002456
20200124T1700,0.19024539
20200124T1800,-0.1897546
20200124T1900,-0.2697546
20200124T2000,-0.4297546
20200124T2100,-0.60975456
20200124T2200,-0.20975459
20200124T2300,-0.3897546
20200125T0000,-0.1297546
20200125T0100,-0.3197546
20200125T0200,-0.4397546
20200125T0300,-0.64975464
20200125T0400,-0.7897546
20200125T0500,-0.8497546
20200125T0600,-0.72975457
20200125T0700,-0.62975454
20200125T0800,-0.04975462
20200125T0900,1.3002454
20200125T1000,2.5702453
20200125T1100,3.5002456
20200125T1200,4.710245
20200125T1300,5.8502455
20200125T1400,6.420245
20200125T1500,5.8202453
20200125T1600,4.7002454
20200125T1700,2.1202455
20200125T1800,1.6602454
20200125T1900,1.0802454
20200125T2000,0.52024543
20200125T2100,0.14024541
20200125T2200,0.7202454
20200125T2300,0.52024543
20200126T0000,0.19024539
20200126T0100,-0.04975462
20200126T0200,-0.0697546
20200126T0300,-0.09975457
